div_index,name,value,up_div,down_div,gua_ci,0,1,2,3,4,5,6
48,井,22,Kan,Xun,,,,,,,,
49,革,29,Dui,Li,,,,,,,,
50,鼎,46,Li,Xun,,,,,,,,
51,震,9,Zhen,Zhen,,,,,,,,
52,艮,36,Gen,Gen,,,,,,,,
53,渐,52,Xun,Gen,,,,,,,,
54,归妹,11,Zhen,Dui,,,,,,,,
55,丰,13,Zhen,Li,,,,,,,,
56,旅,46,Li,Gen,,,,,,,,
57,巽,54,Xun,Xun,,,,,,,,
58,兑,27,Dui,Dui,,,,,,,,
59,涣,50,Xun,Kan,,,,,,,,
60,节,19,Kan,Dui,,,,,,,,
61,中孚,51,Xun,Dui,,,,,,,,
62,小过,12,Zhen,Gen,,,,,,,,
63,既济,21,Kan,Li,,,,,,,,
64,未济,42,Li,Kan,,,,,,,,
